/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,体力,弾種類,待機時間,アイテム1,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,blknd,col,hp,blknd2,wait,item_n,,,,,
100,0,0,40,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
90,0,0,80,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
80,0,0,120,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
70,0,0,160,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
70,0,0,240,-20,0,60,0,0,1,7,180,1,-1,-1,-1,-1,-1
80,0,0,280,-20,0,60,0,0,1,7,180,1,-1,-1,-1,-1,-1
90,0,0,320,-20,0,60,0,0,1,7,180,1,-1,-1,-1,-1,-1
100,0,0,360,-20,0,60,0,0,1,7,180,1,-1,-1,-1,-1,-1
/タイトル,,,,,,,,,,,,,,,,,
/ザラザラ降りてきて左へ流れる,,,,,,,,,,,,,,,,,
550,5,0,340,-20,0,60,0,0,200,7,180,3,-1,-1,-1,-1,-1
570,5,0,280,-20,0,60,0,0,200,7,180,3,-1,-1,-1,-1,-1
590,5,0,320,-20,0,60,0,0,200,7,180,3,-1,-1,-1,-1,-1
610,5,0,360,-20,0,60,0,0,200,7,180,3,-1,-1,-1,-1,-1
/ザラザラ降りてきて右へ流れる,,,,,,,,,,,,,,,,,
970,6,0,60,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
990,6,0,120,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
1010,6,0,80,-20,0,60,0,0,200,7,180,5,-1,-1,-1,-1,-1
1030,6,0,140,-20,0,60,0,0,200,7,180,5,-1,-1,-1,-1,-1
/ザラザラ降りてきて左へ流れる,,,,,,,,,,,,,,,,,
850,5,0,340,-20,0,60,0,0,200,7,180,3,-1,-1,-1,-1,-1
870,5,0,280,-20,0,60,0,0,200,7,180,3,-1,-1,-1,-1,-1
890,5,0,320,-20,0,60,0,0,200,7,180,3,-1,-1,-1,-1,-1
910,5,0,360,-20,0,60,0,0,200,7,180,3,-1,-1,-1,-1,-1
/ザラザラ降りてきて右へ流れる,,,,,,,,,,,,,,,,,
970,6,0,60,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
990,6,0,120,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
1010,6,0,80,-20,0,60,0,0,200,7,180,5,-1,-1,-1,-1,-1
1030,6,0,140,-20,0,60,0,0,200,7,180,5,-1,-1,-1,-1,-1
