/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,体力,弾種類,待機時間,アイテム1,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,blknd,col,hp,blknd2,wait,item_n,,,,,
60,0,0,200,-20,0,60,1,0,300,5,180,0,-1,-1,-1,-1,-1
100,0,0,260,-20,0,60,1,0,300,6,180,0,-1,-1,-1,-1,-1
140,0,0,320,-20,0,60,1,0,300,7,180,0,-1,-1,-1,-1,-1
180,0,0,380,-20,0,60,1,0,300,8,180,0,-1,-1,-1,-1,-1
220,0,0,320,-20,0,60,1,0,300,9,180,0,-1,-1,-1,-1,-1
260,0,0,260,-20,0,60,1,0,300,8,180,0,-1,-1,-1,-1,-1
300,0,0,200,-20,0,60,1,0,300,7,180,0,-1,-1,-1,-1,-1
340,0,0,140,-20,0,60,1,0,300,6,180,0,-1,-1,-1,-1,-1
380,0,0,80,-20,0,60,1,0,300,5,180,0,-1,-1,-1,-1,-1
420,0,0,20,-20,0,60,1,0,300,6,180,0,-1,-1,-1,-1,-1
460,0,0,80,-20,0,60,1,0,300,7,180,0,-1,-1,-1,-1,-1
500,0,0,140,-20,0,60,1,0,300,8,180,0,-1,-1,-1,-1,-1
540,0,0,200,-20,0,60,1,0,300,9,180,0,-1,-1,-1,-1,-1
580,0,0,260,-20,0,60,1,0,300,8,180,0,-1,-1,-1,-1,-1
620,0,0,320,-20,0,60,1,0,300,7,180,0,-1,-1,-1,-1,-1
660,0,0,380,-20,0,60,1,0,300,6,180,0,-1,-1,-1,-1,-1
700,0,0,300,-20,0,60,1,0,300,5,180,0,-1,-1,-1,-1,-1
740,0,0,220,-20,0,60,1,0,300,6,180,0,-1,-1,-1,-1,-1
780,0,0,140,-20,0,60,1,0,300,7,180,0,-1,-1,-1,-1,-1
