/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,体力,弾種類,待機時間,アイテム1,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,blknd,col,hp,blknd2,wait,item_n,,,,,
100,0,0,180,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
180,1,0,200,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
260,2,0,180,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
340,3,0,200,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
420,4,0,180,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
500,5,0,200,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
580,6,0,180,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
660,7,0,200,150,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
740,8,0,180,150,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
820,9,0,200,150,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
900,10,0,180,-20,0,150,0,0,100,0,360,0,-1,-1,-1,-1,-1
