/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,体力,弾種類,待機時間,アイテム1,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,blknd,col,hp,blknd2,wait,item_n,,,,,
//パターン11,,,,,,,,,,,,,,,,,
50,11,0,-20,30,0,120,9,0,200,7,0,0,-1,-1,-1,-1,-1
100,11,0,-20,45,0,120,9,0,200,7,0,1,-1,-1,-1,-1,-1
150,11,0,-20,60,0,120,9,0,200,7,0,0,-1,-1,-1,-1,-1
200,11,0,-20,75,0,120,9,0,200,7,0,1,-1,-1,-1,-1,-1
250,11,0,-20,90,0,120,9,0,200,7,0,0,-1,-1,-1,-1,-1
300,11,0,-20,105,0,120,9,0,200,7,0,1,-1,-1,-1,-1,-1
350,11,0,-20,120,0,120,9,0,200,7,0,0,-1,-1,-1,-1,-1
400,11,0,-20,135,0,120,9,0,200,7,0,1,-1,-1,-1,-1,-1
//パターン12,,,,,,,,,,,,,,,,,
600,12,0,40,-20,0,150,9,1,200,7,0,0,-1,-1,-1,-1,-1
650,12,0,80,-20,0,150,9,1,200,7,0,1,-1,-1,-1,-1,-1
700,12,0,120,-20,0,150,9,1,200,7,0,0,-1,-1,-1,-1,-1
750,12,0,160,-20,0,150,9,1,200,7,0,1,-1,-1,-1,-1,-1
800,12,0,200,-20,0,150,9,1,200,7,0,0,-1,-1,-1,-1,-1
850,12,0,240,-20,0,150,9,1,200,7,0,1,-1,-1,-1,-1,-1
900,12,0,280,-20,0,150,9,1,200,7,0,0,-1,-1,-1,-1,-1
950,12,0,320,-20,0,150,9,1,200,7,0,1,-1,-1,-1,-1,-1
//パターン13,,,,,,,,,,,,,,,,,
1150,13,0,320,-20,0,150,9,2,200,7,0,0,-1,-1,-1,-1,-1
1200,13,0,80,-20,0,150,9,2,200,7,0,1,-1,-1,-1,-1,-1
1250,13,0,240,-20,0,150,9,2,200,7,0,0,-1,-1,-1,-1,-1
1300,13,0,370,-20,0,150,9,2,200,7,0,1,-1,-1,-1,-1,-1
1350,13,0,40,-20,0,150,9,2,200,7,0,0,-1,-1,-1,-1,-1
1400,13,0,200,-20,0,150,9,2,200,7,0,1,-1,-1,-1,-1,-1
1450,13,0,260,-20,0,150,9,2,200,7,0,0,-1,-1,-1,-1,-1
1500,13,0,120,-20,0,150,9,2,200,7,0,1,-1,-1,-1,-1,-1
//パターン14,,,,,,,,,,,,,,,,,
1700,14,0,-20,80,0,120,9,3,200,7,0,0,-1,-1,-1,-1,-1
1750,14,0,-20,80,0,120,9,3,200,7,0,1,-1,-1,-1,-1,-1
1800,14,0,-20,80,0,120,9,3,200,7,0,0,-1,-1,-1,-1,-1
1850,14,0,-20,80,0,120,9,3,200,7,0,1,-1,-1,-1,-1,-1
1900,14,0,-20,80,0,120,9,3,200,7,0,0,-1,-1,-1,-1,-1
1950,14,0,-20,80,0,120,9,3,200,7,0,1,-1,-1,-1,-1,-1
2000,14,0,-20,80,0,120,9,3,200,7,0,0,-1,-1,-1,-1,-1
2050,14,0,-20,80,0,120,9,3,200,7,0,1,-1,-1,-1,-1,-1
