/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,体力,弾種類,待機時間,アイテム1,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,blknd,col,hp,blknd2,wait,item_n,,,,,
100,0,0,40,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
90,0,0,80,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
80,0,0,120,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
70,0,0,160,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
70,0,0,240,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
80,0,0,280,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
90,0,0,320,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
100,0,0,360,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
150,5,0,340,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
170,5,0,280,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
190,5,0,320,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
210,5,0,360,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
270,6,0,60,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
290,6,0,120,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
310,6,0,80,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
330,6,0,140,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
300,0,0,40,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
290,0,0,80,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
280,0,0,120,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
270,0,0,160,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
270,0,0,240,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
280,0,0,280,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
290,0,0,320,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
300,0,0,360,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
350,5,0,340,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
370,5,0,280,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
390,5,0,320,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
410,5,0,360,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
470,6,0,60,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
490,6,0,120,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
510,6,0,80,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
530,6,0,140,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
500,0,0,40,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
490,0,0,80,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
480,0,0,120,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
470,0,0,160,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
470,0,0,240,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
480,0,0,280,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
490,0,0,320,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
500,0,0,360,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
550,5,0,340,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
570,5,0,280,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
590,5,0,320,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
